1,1.9583,-0.0304,3.6044,0.1206,54612.4960
2,1.9586,-0.0298,3.6044,0.1217,54529.9960
3,1.9583,-0.0300,3.6044,0.1200,53008.3320
4,1.9583,-0.0348,3.6044,0.1224,53195.8320
5,1.9581,-0.0311,3.6044,0.1246,54218.3320
6,1.9581,-0.0341,3.6044,0.1204,54612.4960
7,1.9581,-0.0383,3.6044,0.1237,54612.4960
8,1.9581,-0.0398,3.6044,0.1184,54612.4960
9,1.9581,-0.0401,3.6044,0.1224,54612.49601
0,1.9581,-0.0401,3.6044,0.1213,53317.4960
11,1.9578,-0.0407,3.6044,0.1228,52053.3320
12,1.9578,0.0018,3.6044,-5.7184,50714.9960
13,1.9578,0.0033,3.6044,0.0013,50097.4960
14,1.9581,0.0033,3.6044,0.0035,49149.1640
15,1.9581,0.0031,3.6044,0.0022,48603.3320
16,1.9581,0.0035,3.6044,0.0022,47584.1640
17,1.9581,0.0053,3.6044,-0.0002,47308.3320
18,1.9581,0.0046,3.6044,-0.0011,46785.0000
19,1.9581,0.0009,3.6044,0.0004,45716.6640
20,1.9578,0.0002,3.6044,0.0002,45902.5000
21,1.9576,0.0009,3.6044,0.0028,13498.3330
22,1.9571,0.0015,3.6044,-0.0002,18564.1660
23,1.9566,0.0031,3.6044,-0.0007,17165.8320
24,1.9561,-0.0009,3.6044,0.0044,15305.8330
25,1.9561,0.0002,3.6044,0.0037,15168.3330
26,1.9558,-0.0018,3.6044,0.0037,8907.5000
27,1.9553,-0.0009,3.6044,0.0000,14924.1660
28,7.7677,-0.0004,3.6041,-0.0072,14819.9990
29,7.7755,0.0020,3.6044,0.0018,25711.6660
30,7.2800,0.1933,3.6208,0.3682,54612.4960
31,7.2800,0.1922,3.6217,0.3824,54612.4960
32,7.2800,0.2049,3.6230,0.4069,54612.4960
33,7.2800,0.2189,3.6245,0.4354,54612.4960
34,7.2800,0.2290,3.6256,0.4500,54612.4960
35,7.2800,0.2307,3.6256,0.4487,54612.4960
36,7.2800,0.2156,3.6247,0.4244,54612.4960
37,7.2802,0.2073,3.6236,0.3949,54612.4960
38,7.2800,0.1988,3.6232,0.3835,54612.4960
39,7.2802,0.2018,3.6235,0.3835,54612.4960
40,7.2800,0.2128,3.6243,0.4050,54612.4960
41,7.2800,0.2174,3.6253,0.4196,54612.4960
42,7.2800,0.2368,3.6267,0.4516,54612.4960
43,7.2802,0.2390,3.6269,0.4619,54612.4960
44,7.2802,0.2281,3.6258,0.4332,54612.4960
45,7.2800,0.2106,3.6246,0.3999,54612.4960
46,7.2800,0.1904,3.6228,0.3599,54612.4960
47,7.2802,0.1780,3.6219,0.3382,54612.4960
48,7.2802,0.1729,3.6216,0.3292,54612.4960
